학습자료명,페이지 번호,키워드명,파일명,목차명,확장자명,출처명,홈페이지주소,작성일자,데이터기준일자,제공기관코드,제공기관명
교통의 발달이 지역에 미치는 영향,,교통;열차;KTX;고속철도;초등 5학년 1학기 사회; 사회 5학년 1학기;초5 사회;초등 6학년 1학기 사회; 사회 6학년 1학기;초6 사회;환경과 조화를 이루는 국토;우리 경제의,,,,,https://www.edunet.net/contsMvGllry/view/152/2048831,,2025-04-21,B550629,한국교육학술정보원
저출산·고령화 사회,,저출산;고령화;고령화 사회;산아 제한 정책;자녀를 갖지 않으려는 이유;저출산 문제; 고령화 문제;저출산 대책;고령화 대책;초등학교 6학년 사회 우리 국토의 모습과 생활;초6 사회 ,,,,,https://www.edunet.net/contsMvGllry/view/152/9076,,2025-04-21,B550629,한국교육학술정보원
우리나라의 인구 성장,,인구 성장;인구;인구 규모;인구 성장에 미치는 요인;가족계획사업;베이비 붐;합계 출산율;출산 장려;초등학교 6학년 사회 우리 국토의 모습과 생활;초6 사회 우리 국토의 모습과 생활,,,,,https://www.edunet.net/contsMvGllry/view/152/27980,,2025-04-21,B550629,한국교육학술정보원
인구의 고령화,,촌락;고령화;저출산;초등 4학년 1학기 사회; 사회 4학년 1학기;초4 사회;촌락의 형성과 주민 생활;촌락;고령화;저출산;고령화의 원인;고령화의 문제점,,,,,https://www.edunet.net/contsMvGllry/view/152/2048824,,2025-04-21,B550629,한국교육학술정보원
전통적인 지역 구분,,전통적인 지역 구분;산과 강을 경계로 나누어지는 지역;지역 명칭 붙여진 이유;초등학교 3학년 사회 우리가 살아가는 곳;초3 사회 우리가 살아가는 곳;초등학교 3학년 사회 우리 지역,,,,,https://www.edunet.net/contsMvGllry/view/152/32684,,2025-04-21,B550629,한국교육학술정보원
행정적인 지역 구분,,행정적인 지역 구분;조선시대의 행정 구역;우리 나라의 행정구역;지역의 행정구역도;제주특별자치도;세종특별자치시;초등학교 3학년 사회 우리가 살아가는 곳;초3 사회 우리가 살아가는 곳,,,,,https://www.edunet.net/contsMvGllry/view/152/36052,,2025-04-21,B550629,한국교육학술정보원
지명 이야기,,무주;안성;함흥;지명;지역;유리;초등 3학년 1학기 사회; 사회 3학년 1학기;사람들이 모이는 곳;무주;안성;함흥;지명;지역;유리,,,,,https://www.edunet.net/contsMvGllry/view/152/2048823,,2025-04-21,B550629,한국교육학술정보원
임진왜란과 조선통신사,,임진왜란;조선통신사;임진왜란 당시 시대적 상황;부산진순절도;행주대첩도;비격진천뢰;임진왜란 이후 일본과의 교류;초등학교 5학년 사회 유교 전통이 자리 잡은 조선;초5 사회 유교 전통,,,,,https://www.edunet.net/contsMvGllry/view/152/1120,,2025-04-21,B550629,한국교육학술정보원
병자호란과 북벌운동,,병자호란;북벌운동;광해군의 실리적 외교;북벌운동;초등학교 5학년 사회 유교 전통이 자리 잡은 조선;초5 사회 유교 전통이 자리 잡은 조선;임진왜란과 병자호란,,,,,https://www.edunet.net/contsMvGllry/view/152/98819,,2025-04-21,B550629,한국교육학술정보원
환경친화적인 삶,,환경친화적인 삶;환경친화적인 삶의 필요성;환경오염;환경친화적인 삶 실천 모습;슬로푸드;환경을 생각하는 집짓기;슬로시티;초등학교 6학년 사회 우리 국토의 모습과 생활;초6 사회 우리,,,,,https://www.edunet.net/contsMvGllry/view/152/70585,,2025-04-21,B550629,한국교육학술정보원
